"pressure","permeability","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
113.05,1,1,375.16,375.16,-200,0
113.05,1,1,375.88,375.88,-200,0
113.05,1,1,376.6,376.6,-200,0
113.05,1,1,377.32,377.32,-200,0
113.01,1,1,378.04,378.04,-200,0
113.01,1,1,378.76,378.76,-200,0
113.01,1,1,379.48,379.48,-200,0
113.01,1,1,380.2,380.2,-200,0
112.97,1,1,380.92,380.92,-200,0
112.97,1,1,381.64,381.64,-200,0
112.95,1,1,382.36,382.36,-200,0
112.95,1,1,383.08,383.08,-200,0
112.92,1,1,383.8,383.8,-200,0
112.92,1,1,384.52,384.52,-200,0
112.92,1,1,385.24,385.24,-200,0
112.92,1,1,385.96,385.96,-200,0
112.89,1,1,386.68,386.68,-200,0
112.86,1,1,387.4,387.4,-200,0
112.86,1,1,388.12,388.12,-200,0
112.84,1,1,388.84,388.84,-200,0
112.84,1,1,389.56,389.56,-200,0
112.84,1,1,390.28,390.28,-200,0
112.84,1,1,391,391,-200,0
112.8,1,1,391.72,391.72,-200,0
112.8,1,1,392.44,392.44,-200,0
112.8,1,1,393.16,393.16,-200,0
112.8,1,1,393.88,393.88,-200,0
112.73,1,1,394.6,394.6,-200,0
112.73,1,1,395.32,395.32,-200,0
112.73,1,1,396.04,396.04,-200,0
112.73,1,1,396.76,396.76,-200,0
112.73,1,1,397.48,397.48,-200,0
112.7,1,1,398.2,398.2,-200,0
112.7,1,1,398.92,398.92,-200,0
112.7,1,1,399.64,399.64,-200,0
112.7,1,1,400.36,400.36,-200,0
112.64,1,1,401.08,401.08,-200,0
112.64,1,1,401.8,401.8,-200,0
112.64,1,1,402.52,402.52,-200,0
112.64,1,1,403.24,403.24,-200,0
112.62,1,1,403.96,403.96,-200,0
112.62,1,1,404.68,404.68,-200,0
112.62,1,1,405.4,405.4,-200,0
112.58,1,1,406.12,406.12,-200,0
112.56,1,1,406.84,406.84,-200,0
112.56,1,1,407.56,407.56,-200,0
112.56,1,1,408.28,408.28,-200,0
112.56,1,1,409,409,-200,0
112.56,1,1,409.72,409.72,-200,0
112.51,1,1,410.44,410.44,-200,0
112.51,1,1,411.16,411.16,-200,0
112.51,1,1,411.88,411.88,-200,0
112.51,1,1,412.6,412.6,-200,0
112.5,1,1,413.32,413.32,-200,0
112.47,1,1,414.04,414.04,-200,0
112.47,1,1,414.76,414.76,-200,0
112.47,1,1,415.48,415.48,-200,0
112.45,1,1,416.2,416.2,-200,0
112.45,1,1,416.92,416.92,-200,0
112.42,1,1,417.64,417.64,-200,0
112.41,1,1,418.36,418.36,-200,0
112.41,1,1,419.08,419.08,-200,0
112.41,1,1,419.8,419.8,-200,0
112.41,1,1,420.52,420.52,-200,0
112.37,1,1,421.24,421.24,-200,0
112.37,1,1,421.96,421.96,-200,0
112.37,1,1,422.68,422.68,-200,0
112.36,1,1,423.4,423.4,-200,0
112.33,1,1,424.12,424.12,-200,0
112.33,1,1,424.84,424.84,-200,0
112.33,1,1,425.56,425.56,-200,0
112.31,1,1,426.28,426.28,-200,0
112.31,1,1,427,427,-200,0
112.31,1,1,427.72,427.72,-200,0
112.27,1,1,428.44,428.44,-200,0
112.27,1,1,429.16,429.16,-200,0
112.27,1,1,429.88,429.88,-200,0
112.27,1,1,430.6,430.6,-200,0
112.26,1,1,431.32,431.32,-200,0
112.23,1,1,432.04,432.04,-200,0
