"wetting potential","permeability-X","permeability-Y","permeability-Offdiagonal","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.4066,1,1,0,1,0.10082,0.10082,0.7,0
1.4058,1,1,0,1,0.10107,0.10107,0.7,0
1.4058,1,1,0,1,0.10132,0.10132,0.7,0
1.4058,1,1,0,1,0.10157,0.10157,0.7,0
1.4058,1,1,0,1,0.10182,0.10182,0.7,0
1.405,1,1,0,1,0.10207,0.10207,0.7,0
1.405,1,1,0,1,0.10232,0.10232,0.7,0
1.405,1,1,0,1,0.10257,0.10257,0.7,0
1.405,1,1,0,1,0.10282,0.10282,0.7,0
1.4042,1,1,0,1,0.10307,0.10307,0.7,0
1.4042,1,1,0,1,0.10332,0.10332,0.7,0
1.4042,1,1,0,1,0.10357,0.10357,0.7,0
1.4042,1,1,0,1,0.10382,0.10382,0.7,0
1.4034,1,1,0,1,0.10407,0.10407,0.7,0
1.4034,1,1,0,1,0.10432,0.10432,0.7,0
1.4034,1,1,0,1,0.10457,0.10457,0.7,0
1.4034,1,1,0,1,0.10482,0.10482,0.7,0
1.4026,1,1,0,1,0.10507,0.10507,0.7,0
1.4026,1,1,0,1,0.10532,0.10532,0.7,0
1.4026,1,1,0,1,0.10557,0.10557,0.7,0
1.4026,1,1,0,1,0.10581,0.10581,0.7,0
1.4018,1,1,0,1,0.10606,0.10606,0.7,0
1.4018,1,1,0,1,0.10631,0.10631,0.7,0
1.4018,1,1,0,1,0.10656,0.10656,0.7,0
1.4018,1,1,0,1,0.10681,0.10681,0.7,0
1.401,1,1,0,1,0.10706,0.10706,0.7,0
1.401,1,1,0,1,0.10731,0.10731,0.7,0
1.401,1,1,0,1,0.10756,0.10756,0.7,0
1.401,1,1,0,1,0.10781,0.10781,0.7,0
1.4002,1,1,0,1,0.10806,0.10806,0.7,0
1.4002,1,1,0,1,0.10831,0.10831,0.7,0
1.4002,1,1,0,1,0.10856,0.10856,0.7,0
1.4002,1,1,0,1,0.10881,0.10881,0.7,0
1.3994,1,1,0,1,0.10906,0.10906,0.7,0
1.3994,1,1,0,1,0.10931,0.10931,0.7,0
1.3994,1,1,0,1,0.10956,0.10956,0.7,0
1.3994,1,1,0,1,0.10981,0.10981,0.7,0
1.3986,1,1,0,1,0.11006,0.11006,0.7,0
1.3986,1,1,0,1,0.11031,0.11031,0.7,0
1.3986,1,1,0,1,0.11056,0.11056,0.7,0
